problema¬problema_lg
"LA TEMPERATURA QUE MARCA LA PANTALLA ES -10C Y NO SE PUEDE MODIFICAR.
SOLICITAMOS EL ENVÍO DE UN NUEVO TERMOSTATO A LA MAYOR BREVEDAD, EN ESPERA DE QUE ÉSTE SEA REPARADO."¬es
"MODULO LOCAL NO RESPONDE. LA REJILLA EN OTRO SITIO SI QUE FUNCIONA.
ENVIAR MATERIAL EN GARANTIA. EL MODULO ESTROPEADO LO ENVIAMOS A FÁBRICA DESDE DELEGACION MADRID."¬es
LA CCP NO LEE EL SISTEMA, SE MIDE ENTRE - Y VERDE Y ENTRE - Y AZUL Y NO DA 1,8VDC, SUSTTUIR¬es
La pantalla tactil no funciona.¬es
REJILLA INTELIGENTE RINT050015BKMTE NO FUNCIONA EL MOTOR¬it
"REJILLA NO SE ABRE
SE SOLICITA CAMBIO"¬it
Enviar compuerta para sustitucion defectuosa¬es
NECESITA INSTALARLE EL RECEPTOR CORDLESS, POR LO QUE NECESITA SE LE HAGA EL TROQUEL A LA REJILLA SIN CARGO¬es
Pantalla tactil funciona mal¬es
BLUEFACE CON PANEL TACTIL DESPLAZADO¬es
PANTALLA MANCHA NEGRA¬it
EL WS NO SE CREA RED WIFI VALIDA¬en
dos centrales acuazone porque pierden la hora tras corte de alimentacion, probablemente pila¬es
EN NUESTRO PEDIDO 5002739 RECIBIMOS 3 REJ.INTELIG.REG.TRP.CURV.TORN.500x150 BL Y UNA DE ELLAS VIENE CON EL MOTOR SIN MONTAR, SOLICITAMOS QUE LO RETIREN DE NUESTRAS INSTALACIONES Y NOS LO MANDEN CORRECTAMENTE. GRACIAS.¬es
"2 PASARELAS NO FUNCIONAN. UNA DICEN NI SI QUIERA ENIENDE EL LED DE PROGRAMACION.

RECOGIDA DE LAS 2 PASARELAS EN NAVARRA.
ENVIAR UNA EN GARANTIA A MADRID.
LA OTRA YA SE ENVIO."¬es
NO ENCIENDE. ESTA EN GARANTIA.¬es
"En la pasarela Samsung del pedido nº 21506400, no venian los latiguillos.

Suministrar urgente los latiguillos."¬es
No funciona¬es
zonepad grafico maestro gris que parpardea en reposo, se ruega sustitucion, entregar a fermin¬es
"PASARELA DE FANCOIL ZONIFICADO NO SE ENCIENDE. YA PIDIERON OTRA PARA REEMPLAZARLA.

UNICAMENTE HAY QUE GESTIONAR LA RECOGIDA Y ABONAR."¬es
No puede encender/apagar la zona.¬es
Tapasbtraseras se parten. Enviar 20 unid.¬es
Rejilla dañada¬es
Tapas traseras rotas enviar 20 unif.¬lv
cambio por acturalizacion¬es
Cambio por actualizacion¬es
cambio por actualizacion¬es
CAMBIO POR ACTUALIZACION¬es
SE NECESITA CAMBIAR LAS 5 TAPAS TRASERAS DE LOS MANDOS Y 1 MANDO TACTO CABLE BLANCO¬es
PANTALLA NO SE ENCIENDE.SE SOLICITA CAMBIO¬it
"Pantalla no funciona.

Gestionar unicamente la recogida y abono."¬es
BLUEFACE CON RAYAS EN LA PANTALLA, ENVIAR NUEVO PARA REPONER EN INSTALACIÓN¬es
CAMBIO POR ACTUALIZACIÓN DE SOFTWARE¬es
CENTRAL CEN CON PROBLEMAS DE COMUNICACIONES ERROR 1 EN TERMOSTATOS¬es
"FALLO COMUNICACION.
SE SOLICITA CAMBIO"¬it
Cambiar azxccpc¬ca
Motor de una rejilla + compuerta  no funciona¬es
TRANSFORMADOR DESOLDADO¬pt
Ruido al cerrar¬es
ESTA NO SE DETECTA EN EL BUS, POR FAVOR ENVIAR UNA LO ANTES POSIBLE¬es
NO FUNCIONA BIEN¬es
no enciende el led del rele 1.¬es
LA REJILLA VIENE RAYADA (ADJUNTO FOTO). CAMBIARLA¬es
CENTRAL UNO DEFECTUOSA.¬es
CAMBIAR POR OTRA, ESTA NO ME PERMITE CONECTARME A LA INSTALACIÓN.¬es
HA RECIBIDO EL CLIENTE 1 REJILLA INT. 600X150 BLANCA Y 1 REJILLA RETORNO 600X150 BLANCA DEL PEDIDO 5002956 DE ENVÍO DIRECTO ROTO. SOLICITO QUE PASEN A RETIRARLO EN LA MISMA DIRECCIÓN Y MANDEN DOS NUEVAS. GRACIAS.¬es
"TERMOSTATO DEFECTUOSO. 
Rogamos cambio en garantía, o cargo por el nuevo, con posterior abono, a la devolución del defectuoso."¬es
HABLADO CON POSTVENTA. ENVIAR NUEVO MODULO A DELEGACION DE SEVILLA¬es
ERROR 03 EN TERMOSTATO LG, SE DESCONECTA PASARELA Y DESAPARECE ERROR, SE COMPRUEBA CONEXIONADO PASARELA, CABLES, CONFIGURACION, TODO OK, PARECE QUE PASARELA ESTÁ DEFECTUOSA E INTERRUMPE COMUNICACION ENTRE TERMOSTATO LG Y UNIDAD INTERIOR¬es
PANTALLA DE TERMOSTATO AZC3TACTOCSB NO RESPONDE AL TACTIL.¬es
TACTO CON DISPLAY DEFECTUOSO. ALGUNOS SEGMENTOS NO SE VEN.¬es
LA PANTALLA SE APAGA A LOS 3 SEGUNDOS DE CONECTARLO¬es
"LA CENTRAL NO FUNCIONA.
ESTO ES UNA PRUEBA PARA LA FORMACIÓN."¬es
"TERMOSTATO TACTO NO ENCIENDE.
ESTO ES UNA PRUEBA PARA FORMACION."¬es
"TERMOSTATO NO COMUNICA CON LA CENTRAL.
ESTO ES UNA PRUEBA PARA FORMACION."¬es
Problemas con el táctil de la pantalla¬es
PASARELA AVERIADA. HABLADO CON POTVENTA. SOLICTA DEVOLUCION¬es
Pieza mal soldada¬es
15 TAPAS TRASERAS BLANCAS¬es
Falla la pasarela. Se solicita cambio aceptado por Jose Luis Sobrino.¬es
TERMOSTATO TACTO RADIO: TACTIL NO REACCIONA A DETERMINADAS FUNCIONES¬es
TERMOSTATO SE QUEDA BLOQUEADO, POSIBLE FALSA PULSACIÓN EN PANTALLA.¬es
TENEMOS UNA INCIDENCIA CON UNA CENTRAL SISTEMA FLEXA 2.0 6 ZONAS, NO FUNCIONA DA EL ERROR 1¬es
TENEMOS UNA INCIDENCIA CON UN MODULO LOCAL RADIO P/ACUAZONE-INNOBUS32 EL CUAL NO FUNCIONA¬es
CENTRAL DE RELES NO ACTIVA LOS CONTACTOS DE SALIDA.¬es
REJILLA HA LLEGADO GOLPEADA. NECESITAMOS REJILLA NUEVA¬es
NECESITAN 12 TAPAS BLANCAS+10 GRISES¬es
pour MASSAS¬fr
Pour avoi un en Stock¬fr
Merci d'envoyer le colis à l'attention de M GIORDANO¬fr
El cliente a confundido dos pedidos, necesita el cuello para adptarlo¬es
HS¬Too short
No vincula con central¬es
TTO. BLUEFACE NO ENCIENDE¬es
EL TERMOSTATO NO SE ENCIENDE. CAMBIAR EL PRODUCTO¬es
"5 LAMAS ROTAS
FALTAN 6 ENGANCHES DE PESTAÑAS
ENVIAR LAMAS Y ENGANCHES O UN DIFUSOR NUEVO DE CAMBIO,LO QUE MAS RAPIDO SEA.AL CLIENTE LE URGE."¬es
DEFAUT SUR TELECOMMANDE FUJITSU¬fr
PASSERELLE AIRZONE/FUJITSU¬it
REMPLACEMENT FLEXA¬fr
1 de las RINT se bloquean la biela y el motor y queda abierta¬es
SE HA IDO EL TRANSFORMADOR¬es
Tacto consume pilas rapido¬es
ZONA DE LA PANTALLLA TACTIL COMO SI ESTUVIERA PULSADA¬es
15 UNIDADES¬es
NO FUNCIONA RELE SUELO RADIANTE¬es
pour remplacer Flexa¬fr
passerelle compatible AZC3¬it
PASARELA DE FANCOIL NO ENCIENDE¬es
Perte de com¬pt
60 supports Tactos¬en
Módulo Local AZAMLZONAC está mal. Para abrir manda bien la señal de 12V, mientras que para cerrar solo manda 4V.¬es
Cordon trop court¬en
cordon trop court¬en
EL AZXWSCLOUDETH NO SE ENLAZA CON ROUTER, SE HA CAMBAIDO CABLE Y RESETEADO ROUTER Y WS SIN RESULTADOS, ENVIAR UNO NUEVO¬es
service actualisation: passer de Flexa 1 à IB6 ou Flexa 2¬fr
passer de Flexa à IB6¬ca
NO FUNCIONA , ENVIAR UNO NUEVO EN GARANTIA PARA SU CAMBIO.¬es
NO FUNCIONA CENTRAL ACUAZONE¬es
LA PASARELA NO DA COMUNICACION A PLACA BASE FLEXA.¬es
SE HABLO CON CARLOS FERNANDEZ DE QUE TENIAMOS UN PROBLEMA CON UN CTROLAD.BLUEFACE FLEXA 2.0/CEN EMPOT.BL. PROBLEMA DE TEMPERATURA Y AHORA TAMBIEN LA PANTALLA, NOS DIJO DE DARLE UNO NUEVO AL CLIENTE.¬es
MAJ¬Too short
Capot platine beige abimé sur plénum de démo¬fr
A REMPLACER PAR WIFI ERREUR COMMANDE¬fr
TACTIL DESPLAZADO, LAS PULSACIONES NO SON PRECISAS, ENVIAR UNO NUEVO EN GARANTIA¬es
Motor 008 averiado enviar uno en garantia¬es
NO REALIZA CORRECTAMENTE LA CARRERA DE ACCIONAMIENTO¬es
Programmé comme MASTER¬fr
MANDARLE LA de 8uSW por suspechar de la de 2¬es
CCP INCOMPATIBLE CON WSCLOUD¬en
WSCLOUD INCOMPATIBLE CON CCP2¬en
TTO. TACTO: NO RESPONDE CORRECTAMENTE EL TACTIL¬es
"TENEMOS UNA INCIDENCIA CON UN TTO. TACTO RADIO 6 Z SUPERFICIE BLANCO QUE LE VENDIMOS A MI CLIENTE EN AGOSTO, EL CUAL ESTÁ DEFECTUOSO, SE LE GASTAN DE FORMA ANORMAL LAS PILAS. NECESITO SABER COMO DEBEMOS PROCEDER.
GRACIAS."¬es
"EL SERVIDOR WEB ESTÁ ASOCIADO A ROUTER (0% PERDIDA PAQUETES CON FING)PERO DA ERROR AL ACCEDER DESDE LA AP Y WEB DESDE DIFERENTES DISPOSITIVOS Y USUARIOS.
ENVIAR UNO NUEVO"¬es
CAMBIO DE AZXWSCLOUDWIFI POR AZXWSCLOUDETH¬ro
Averia¬no
"complément des dossiers:
WERNER    Z5QAAJUCOF
CONTE       MZDRA2RQF6"¬fr
demande 8, on va lui fournir 10¬ro
EN LA PANTALLA SALEN UNAS LINEAS¬es
Problème d'association de deux module pour un thermostat¬fr
IDEM¬Too short
IDEMQUANTITE: x 7¬ca
IDEMQUANTITE: x 9¬ca
NO FUNCIONA CORRECTAMENTE¬es
CAMBIO DE TERMOSTATO POR DEFECTUOSO EN LA ENTREGA DEL PEDIDO¬es
SOLICITAMOS EL CAMBIO DEL ARTÍCULO EN GARANTÍA AL NO FUNCIONAR CORRECTAMENTE¬es
WEBSERVER CON PROBLEMAS DE CONEXION.¬en
"LAS 3 CENTRALES IBPRO32 HAN DEJADO DE FUNCIONAR.

URGENTE ENVIO DE LAS NUEVAS"¬es
"AL PONERSE EN MARCHA SE PARAN TODOS LOS DEMAS COMPONENTES DEL SISTEMA.
SE SOLICITA UNA NUEVA PARA CAMBIO"¬es
NO FUNCIONA, ENVIAR UNO NUEVO PARA SU CAMBIO.¬es
No mide correctamente la temperatura y no actualiza.¬es
REJILLA HA LEGADO ARAÑADA. POR FAVOR, ENVIAR UNA EN GARANTIA. GRACIAS!¬es
CAMBIO DE 4 MODULOS DE FANCOIL. SE HA IDO TRANSFORMADOR EN UNO DE ELLOS. CAMBIAMOS TODOS.¬es
CAMBIO 5 UD. BASE TRASERA TACTO¬es
"AZAIBPRO32
AZXWSCLOUDWIFI
2unid AZAMPCIKAC
2unid AZATACTOCSB"¬pl
SE ENVIAN DOS MODULOS PARA CONTROL DE FANCOIL O-10V INCOMPATIBLE CON EL SISTEMA, ENVIAR DOS MODULOS PARA FANCOIL 0-10V COMPATIBLE¬es
TERMOSTATO DEFECTUOSO, VERIFICADO CON EL SAT¬es
pour remplacer un TACTO radio HS¬es
pour remplacer un AZXWSERVERAPP 00A6NR¬fr
PERTE DE COMMUNICATION ENTRE LA PASSERELLE ET LE GAINABLE TOSHIBA¬fr
por favor entregar cuanto antes a Fermin Subires, para intentar cambiarlo antes de las fiestas¬es
SE ATRANCA A LA HORA DE CERRAR.¬es
CAMBIO A AZXCCP2¬it
CAMBIO POR AZXWSCLOUDWIFI COMPATIBLE CON CCP2¬it
CAMBIO A AZXWSCLOUDETH COMPATIBLE CON AZXCCP2¬it
AGOTA LAS BATERIAS¬id
Una salida del módulo DIM4 se ha quedado bloqueada y no regula¬es
Modulos de fancoils que no funcionan. Obra con varios que ya se han cambiado.¬es
ERREUR 4 IBP32¬de
Enviar AZC3TACTORSB. se queda bloqueada la pantalla¬ca
Termostato AZC3TACTORSB bloqueado. Enviar por favor uno en garantía¬es
ROTO EL CABLE DE COMUNICACION CON LA PANTALLA.¬es
NO FUNCIONA.¬es
ERREUR 4¬fr
GRILLE RECUE DETERIOREE¬es
PERTE DE COMMUNICATION (VIDEOS DISPO A LA DEMANDE)¬es
Tienes que pulsar las flechas temperatura varias veces para que  funcione, tiene falsa pulsación o desplazada la zona sensible del tacto. Enviar termostato.¬es
Tienes que pulsar las flechas temperatura varias veces para que funcione, tiene falsa pulsación o desplazada la zona sensible del tacto. Enviar termostato.¬es
ASISTENCIA A OBRA EL TERMOSTATO NO FUNCIONA CORRECTAMENTE¬es
NE FONCTIONNE PAS¬fr
NE MARCHE PAS¬it
AU CAS OU.....¬fr
AU CAS OU....¬fr
SAV SUR CHANTIER + RESTE DES CHANTIERS SOLIPAC PERPIGNAN OU LES CACHES ONT (ENCORE) CASSE.¬fr
LLEGA CORRIENTE A 230 V Y LLEGA CORRIENTE DEL BUS, PERO NO REACCIONA Y NO SE ENCIENDE LA LUZ¬es
POUR ACTUALISATION EN AZC3¬fr
POUR AACTUALISATION AVEC NOUVELLE VERSION INTEGRANT NOUVELLE FONCTIONALITE DEGIVRAGE¬fr
CABLE TROP COURT¬fr
REMPLACEMENT¬fr
TENEMOS UN TTO. INTELIGENTE BLUEFACE ECO 6Z SUPERFICIE BLANCO QUE MI CLIENTE SE LLEVO HACE UN PAR DE DIAS Y NOS INDICA QUE LA PANTALLA VIENE DEFECTUOSA CUANDO LA ENCIENDE, APARECEN COSAS RARAS.¬es
Passerelle hs?¬fr
erreur 9¬fr
même problème de perte de com¬fr
NO CAMBIA TEMPERATURA AMBIENTE. OJO: INSTALACION DONDE SE ENVIARON LOS BLUEFACE SIN EL ALGORITMO QUE RALENTIZABA LA ACTUALIZACION DE LA TEMPERATURA AMBIENTE. BUSCAR HISTORIAL DE FRADELOS.¬es
PERTENECE AL MISMO PEDIDO CUYO TERMOSTATO RADIO TIENE S/N 000A2P1E¬es
llega corriente a 230v y llega corriente del bus correcta, pero no reacciona y no se enciende la luz¬es
REJILLA CON ROZADURA EN EL BORDE SUPERIOR. SOLICITAMOS EL ENVÍO DE UNA NUEVA.¬es
NO LOCALIZA LA CENTRALITA. SOLICITAMOS SU SUSTITUCIÓN¬es
"NUESTRO CLIENTE NOS DICE QUE 1 UNID. DE LA REF. AZC3FLEXA2 CENTRAL DE SISTEMA FLEXA 2.0 , NO LE FUNCIONA CORRECTAMENTE.
DICE QUE UNO DE LOS RELES NO CIERRA.
ALBARÁN 1508354 Y FACTURA 21508354
Nº SERIE: 000A6C8Q 
RUEGO NOS DIGAN COMO PROCEDER."¬es
"erreur 1 sur les TACTOS radio, il faut faire un reset électrique
Mais après un moment l'erreur se reproduit!!!"¬fr
TACTOR DEFECTUEUX¬es
SUPPORT CASSER¬it
SEGUN EL INSTALADOR NO CONTROLA BIEN, LE HA CAMBIADO POR OTRO Y VA PERFECTO¬es
Vu avec Christian¬sk
MOTOR EN GARANTIA AVERIADO¬es
"TENEMOS UN DIFUSOR ROTACIONAL 20 ELEM SIN PLENUM EL CUAL TIENE LAS SALIDAS DE AIRE DE PLÁSTICO ALGUNAS ROTAS.
EL NUMERO DE SERIE NO SE VE MUY CLARO.
SOLICITAMOS REPARACION."¬es
EL WEB SERVER CLOUD SE QUEDA ASOCIADO AL ROUTER PERO SIN SALIDA A INTERNET ,ENVIAR UNO NUEVO PARA ASISTENCIA A OBRA¬es
MOTOR INTELIGENTE EN GARANTIA ENVIAR UNO NUEVO¬es
ACTUALIZACION VERSION. PROBLEMAS DE CONEXION¬es
pide dos wifi por poco alcance¬pt
REJILLA SUENA CARRACA AL ACCIONAR¬es
MODULO FC CABLE NO ENCIENDE¬es
Besoin d'un supermaitre  blanc en surface pour réaliser les MES¬fr
TERMOSTATO MAESTRO NO FUNCIONA, SE HA CAMBIADO POR EL TM-PLUS QUE HABIA PREVIAMENTE Y SI FUNCIONA. ENVIAR URGENTE, FAVOR¬es
DEFAUT DE COMMUNICATION AVEC UNITE INTERIEURE GAINABLE.CAUSE: VERSION 2.06¬fr
REMPLACEMENT DE LA VERSION APP PAR CLOUD¬fr
Carte hs¬ro
Avisar a Sergio para que lo gesione¬it
TERMOSATO SUBIDO DE NIVEL A AZA Y AHORA NO FUNCIONA, ENVIAR UNO NUEVO PERO AZA¬es
PANEL TACTIL NO RESPONDE, SUSTITUIR EN GARANTIA¬es
ZONEPAD MONOCROMO NO VA BIEN EL TACTIL¬es
NO ENCIENDE¬es
El mando no funciona. Se solicita uno nuevo en garantía segun conversación con nuestro comercial en zona alicante y la Señorita Cristina Totoricagüena de Arizone.¬es
TENEMOS UNA INCIDENCIA CON UN CTROLAD.TACTO INNOBUS/ACUAZON SUPF.BL. EL CUAL NO FUNCIONA, SOLICITAMOS QUE NOS MANDEN UNO EN REPOSICION¬es
Surchauffe: il faut faire un reset électrique¬fr
surchauffe: il faut faire un reset électrique¬fr
TERMOSTATO RESETEA SOLO¬it
El cliente DINAGAS ALMERIA solicita en garantía un termostato AZC3TACTORSB en garantía. el termostato no escanea y no se puede configurar. Enviar un  AZC3TACTORSB lo antes posible y enviar RMA para devolución de termostatato defectuoso.¬es
Remplacement par un AZXWSCLOUDWIFI¬fr
En una obra con 30 sistemas basic servida al cliente MONTAJES DE ELECTRICIDAD MOYA 3 bluefaces dan ERROR 1 y no es por las patillas y otro blueface da problema de calibración de pantalla táctil. Hay que enviar urgentemente 4 AZC3BLUEFECOSB EN GARANTÍ¬es
STOCK >> QUANTITE 2¬it
STOCK >> QUANTITE 5¬it
STOCK >> QUANTITE 1¬it
STOCKTEST >> QUANTITE 3¬fr
STOCKTEST >> QUANTITE 1¬fr
STOCKTEST >> QUANTITE 10¬fr
STOCKTEST >> QUANTITE 4¬fr
El cliente INSTALACIONES FRILUZ tiene un termostatos AZC3TACTOCSB que le falla la pantalla táctil. Hay muchas veces que queda bloqueada. Enviar  AZC3TACTOCSB en garantia¬es
ANTALLA TACTIL NO REACCIONA CORRECTAMENTE¬es
"Del albarán recibido de airzone nº 1/21600689, una reja RINT030015BKMTE, viene rota, exactamente la pieza gris que sujeta el motor. La mercancía la ha traído DHL, EXPEDICION 2909847010, 1 SOLO BULTO
SOLICITAMOS RETIRADA Y REPOSICION."¬es
REMPLACEMENT FILAIRE PAR RADIO¬fr
REMPLACEMENT RADIO PAR FILAIRE¬fr
PLACA WEBSERVER WIFI EN MAL ESTADO¬nl
SAV¬Too short
X 2¬Too short
Cable bus 100m pour montage de la gamme 2016¬fr
"bornier femelle pour bus avec fil soudé dessous
voir avec adnan"¬fr
NO COMUNICA EL MODULO DE FANCOIL. EL CLIENTE TIENE QUE RECOGER EL MODULO EN FABRICA A PRIMERA HORA DEL LUNES 08/02/16, YA QUE TENIA QUE ENTREGA EL LA OBRA EL VIERNES PASADO 05/02/16¬es
tiene que llevarla en mano¬es
TENEMOS DE NUEVO UNA INCIDENCIA CON UN MODULO LOCAL RADIO P/ACUAZONE-INNOBUS32 QUE YA NOS MANDARON UNO EN GARANTIA. EL ANTERIOR SE TRAMITO CON REFERENCIA Z5YBA5SZ8A¬es
